14466;MS-E1609;Seminar on stochastics and statistics (V);Seminar on stochastics and statistics (V);Seminar on stochastics and statistics (V);12.09.2016 - 05.12.2016;I-V (academic year)  ;1-5
14465;MS-E1602;Large random systems;Large random systems;Large random systems;20.02.2017 - 30.03.2017;IV (Spring 2017), every other year  ;5
14464;MS-E1600;Probability theory;Probability theory;Probability theory;02.01.2017 - 09.02.2017;III (Spring)  ;5
14463;MS-E1460;Functional analysis;Functional analysis;Functional analysis;14.09.2016 - 21.10.2016;I (Autumn)  ;5
14462;MS-E1289;Seminar on analysis and geometry (V);Seminar on analysis and geometry (V);Seminar on analysis and geometry (V);13.09.2016 - 19.05.2017;I-V (academic year)  ;1-5
14461;MS-E1280;Measure and integral;Measure and integral;Measure and integral;31.10.2016 - 07.12.2016;II (Autumn)  ;5
14460;MS-E1110;Number theory;Number theory;Number theory;01.11.2016 - 08.12.2016;II (Autumn).  ;5
14459;MS-E1051;Combinatorics;Combinatorics;Combinatorics;13.09.2016 - 21.10.2016;I (Autumn)  ;5
14458;MS-E1050;Graph theory;Graph theory;Graph theory;12.09.2016 - 21.10.2016;I (Autumn);5
14457;MS-E1011;Tieteen historia;History of Science;Vetenskapshistoria;12.09.2016 - 08.12.2016;I-II (syksy 2017), joka toinen vuosi  ;5
14456;MS-E1000;Crystal Flowers in Halls of Mirrors: Mathematics meets Art and Architecture;Crystal Flowers in Halls of Mirrors: Mathematics meets Art and Architecture;Crystal Flowers in Halls of Mirrors: Mathematics meets Art and Architecture;03.01.2017 - 30.03.2017;III-IV (Spring 2017), every other year  ;5-15
14455;MS-C2132;Systeemianalyysilaboratorio I;Systems Analysis Laboratory I;Systemanalyslaboratorium I;02.01.2017 - 17.05.2017;III-V;5
14454;MS-C2128;Ennustaminen ja aikasarja-analyysi;Prediction and Time Series Analysis;Prediktering och tidsserieanalys;31.10.2016 - 08.12.2016;II (Syksy);5
14453;MS-C2111;Stokastiset prosessit;Stochastic Processes;Stokastiska processer;12.09.2016 - 21.10.2016;I (Syksy);5
14452;MS-C2107;Sovelletun matematiikan tietokonetyöt;Computational Assignments in Applied Mathematics;Datorarbeten i tillämpad matematik;03.01.2017 - 30.03.2017;I - II, III - IV;5
14451;MS-C2105;Optimoinnin perusteet;Introduction to Optimization;Grundkurs i optimering;20.02.2017 - 31.03.2017;IV;5
14450;MS-C2104;Tilastollisen analyysin perusteet;Introduction to Statistical Inference;Introduction to Statistical Inference;02.01.2017 - 31.03.2017;III-IV;5
14449;MS-C2103;Koesuunnittelu ja tilastolliset mallit;Design of Experiments and Statistical Models;Försöksplanering och statistiska modeller;02.01.2017 - 10.02.2017;III  ;5
14448;MS-C1650;Numeerinen analyysi;Numerical analysis;Numerisk analys;20.02.2017 - 06.04.2017;IV (kevät);5
14447;MS-C1540;Euklidiset avaruudet;Euclidean spaces;Euklidiska rum;02.01.2017 - 13.02.2017;III (kevät);5
14446;MS-C1420;Fourier-analyysi;Fourier analysis;Fourieranalys;21.02.2017 - 05.04.2017;I, IV (lv 2016-2017);5
14445;MS-C1420;Fourier-analyysi;Fourier analysis;Fourieranalys;12.09.2016 - 24.10.2016;I, IV (lv 2016-2017);5
14444;MS-C1350;Osittaisdifferentiaaliyhtälöt;Partial differential equations;Partiella differentialekvationer;12.09.2016 - 21.10.2016;I (syksy);5
14443;MS-C1340;Lineaarialgebra ja differentiaaliyhtälöt;Linear algebra and differential equations;Linjär algebra och differentialekvationer;10.04.2017 - 19.05.2017;II, V (lv 2016-2017);5
